City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Zlobin,45.29,14.65,82.4,51,20,6.93,HR,1596406395
Bandarbeyla,9.49,50.81,78.31,70,0,29.97,SO,1596406395
Iqaluit,63.75,-68.51,51.8,81,75,3.36,CA,1596406395
Chui,-33.7,-53.46,59.54,90,99,3.62,UY,1596406396
San Jose,37.34,-121.89,86.0,37,5,10.29,US,1596406140
Bosaso,11.28,49.18,91.83,38,54,24.32,SO,1596406396
Port Blair,11.67,92.75,82.11,80,100,25.95,IN,1596406396
Gouré,13.98,10.27,79.74,68,8,13.82,NE,1596406396
Muravlenko,63.79,74.52,61.34,70,1,11.27,RU,1596406397
Tahe,52.33,124.73,54.36,95,100,6.58,CN,1596406397
Kendari,-3.94,122.5,72.61,92,85,2.59,ID,1596406397
Crema,45.36,9.67,75.0,93,93,5.99,IT,1596406397
Berlevåg,70.86,29.09,48.2,100,75,16.11,NO,1596406398
Ko Samui,9.54,99.94,83.68,77,100,28.95,TH,1596406131
Uribia,11.71,-72.27,92.86,48,23,9.04,CO,1596406398
Praia,14.92,-23.51,82.4,78,75,11.41,CV,1596406398
Léo,11.1,-2.1,73.89,84,92,7.96,BF,1596406398
Vuktyl,63.86,57.31,58.46,89,91,10.65,RU,1596406399
Lavumisa,-27.31,31.89,56.8,91,0,4.9,SZ,1596406399
San Patricio,19.22,-104.7,91.4,70,20,11.41,MX,1596406399
Merritt Island,28.54,-80.67,84.2,74,40,13.87,US,1596406400
Republic,37.12,-93.48,84.2,51,40,9.17,US,1596406400
Otane,-39.88,176.63,45.0,95,62,3.36,NZ,1596406400
Mareeba,-17.0,145.43,66.99,96,28,3.09,AU,1596406400
Winnemucca,40.97,-117.74,98.6,5,1,6.93,US,1596406400
Mushie,-3.02,16.9,82.63,44,41,2.46,CD,1596406401
Green River,41.53,-109.47,91.4,10,1,13.87,US,1596406401
Tonj,7.27,28.68,71.24,96,100,2.71,SS,1596406401
Joigny,47.98,3.4,61.0,59,59,6.02,FR,1596406401
Jalu,29.03,21.55,82.54,46,0,9.71,LY,1596406402
Ahipara,-35.17,173.17,59.7,74,35,9.66,NZ,1596406402
Władysławowo,54.79,18.4,69.01,77,98,4.7,PL,1596406402
Bermejo,-32.88,-68.8,59.49,33,0,7.31,AR,1596406402
Oudtshoorn,-33.59,22.2,53.6,66,0,4.7,ZA,1596406403
Kaitangata,-46.28,169.85,50.0,83,100,1.99,NZ,1596406403
Bubaque,11.28,-15.83,80.98,84,99,11.63,GW,1596406403
Ambovombe,-25.17,46.08,63.3,73,0,18.45,MG,1596406404
Coruripe,-10.13,-36.18,72.77,83,15,9.8,BR,1596406404
Otjimbingwe,-22.35,16.13,58.3,32,0,6.55,NA,1596406404
Acaraú,-2.89,-40.12,78.42,80,10,13.53,BR,1596406136
Buala,-8.14,159.59,83.07,74,26,6.69,SB,1596406405
Kasamwa,-2.85,32.43,61.59,48,0,5.61,TZ,1596406405
Bata,1.86,9.77,80.6,83,40,10.29,GQ,1596406405
Ghanzi,-21.57,21.78,52.32,42,0,6.06,BW,1596406405
Kuril'sk,45.23,147.88,64.26,81,7,6.51,RU,1596406406
Alofi,-19.06,-169.92,78.8,69,81,9.17,NU,1596406406
Hurricane,37.18,-113.29,107.01,11,0,4.0,US,1596406369
Mosquera,4.71,-74.23,66.2,39,75,9.17,CO,1596406406
Russell,32.35,-85.2,95.0,36,1,4.7,US,1596406406
Pajapan,18.25,-94.7,87.8,66,40,11.41,MX,1596406407
Bambous Virieux,-20.34,57.76,69.8,68,75,14.99,MU,1596406407
Isangel,-19.55,169.27,70.92,63,5,11.74,VU,1596406407
Tanabe,33.73,135.37,82.0,84,75,3.18,JP,1596406407
Hambantota,6.12,81.12,77.0,100,20,11.41,LK,1596406408
Ballina,-28.87,153.57,54.0,100,20,5.55,AU,1596406408
Malicboy,13.98,121.79,77.2,85,100,2.15,PH,1596406408
São Félix do Xingu,-6.64,-51.99,79.32,45,48,0.25,BR,1596406409
Caravelas,-17.71,-39.25,70.81,68,11,10.83,BR,1596406409
Conceição do Araguaia,-8.26,-49.26,83.3,38,0,3.98,BR,1596406409
Fortuna,40.6,-124.16,70.0,80,11,3.0,US,1596406299
Raychikhinsk,49.78,129.41,67.37,91,98,13.13,RU,1596406409
Kavieng,-2.57,150.8,83.07,76,16,6.93,PG,1596406410
Tanout,14.97,8.89,85.75,55,27,9.44,NE,1596406410
Madimba,-10.4,40.33,71.6,94,20,11.41,TZ,1596406410
Geraldton,-28.77,114.6,55.4,82,40,17.22,AU,1596406410
Puerto Colombia,10.99,-74.95,91.4,66,40,13.87,CO,1596406411
St. George's,12.06,-61.75,86.0,79,40,16.11,GD,1596406411
Keti Bandar,24.14,67.45,85.86,79,92,15.03,PK,1596406411
Windsor,42.3,-83.02,73.0,83,90,14.99,CA,1596406411
Belvedere Marittimo,39.62,15.86,80.01,58,0,2.1,IT,1596406412
Hobyo,5.35,48.53,78.89,72,87,21.88,SO,1596406412
Monze,-16.28,27.48,51.98,56,0,4.25,ZM,1596406412
Burnie,-41.07,145.92,45.0,76,98,10.0,AU,1596406413
Rodrigues Alves,-7.74,-72.65,85.71,47,8,0.47,BR,1596406413
Baruun-Urt,46.68,113.28,57.16,83,58,9.04,MN,1596406413
Thinadhoo,0.53,72.93,82.67,77,98,11.5,MV,1596406350
Marsabit,2.33,37.99,62.58,73,63,23.26,KE,1596406414
Teya,60.38,92.63,53.28,75,0,0.65,RU,1596406414
Gazojak,41.19,61.4,80.55,23,0,6.51,TM,1596406414
Krasnyy Yar,46.53,48.35,71.6,60,40,7.67,RU,1596406414
Sobolevo,54.43,31.9,50.72,85,42,1.5,RU,1596406415
Avera,33.19,-82.53,93.2,46,1,8.41,US,1596406415
Padang,-0.95,100.35,76.53,78,66,5.06,ID,1596406415
Uglegorsk,49.08,142.03,60.58,92,100,11.07,RU,1596406415
Salaga,8.55,-0.52,74.48,83,89,2.62,GH,1596406416
Wawa,9.9,4.42,75.2,89,100,4.99,NG,1596406416
Lebu,-37.62,-73.65,52.29,92,68,6.71,CL,1596406416
Warmbad,-28.45,18.73,65.41,24,0,9.28,NA,1596406417
Vostochnyy,55.82,37.87,57.2,82,0,6.71,RU,1596406417
Makokou,0.57,12.86,72.3,80,91,5.19,GA,1596406417
Zabul Province,32.25,67.25,66.45,23,0,8.55,AF,1596406417
Caboolture,-27.08,152.95,55.99,98,70,2.8,AU,1596406265
Birjand,32.87,59.22,71.6,21,0,4.7,IR,1596406418
Tamiahua,21.27,-97.45,86.58,67,20,11.03,MX,1596406418
Cambridge,43.36,-80.31,73.99,88,90,18.34,CA,1596406396
Sal Rei,16.18,-22.92,82.4,74,20,11.41,CV,1596406419
Pimentel,-6.84,-79.93,66.2,72,20,18.34,PE,1596406419
Glens Falls,43.31,-73.64,84.99,62,40,16.11,US,1596406010
Kahramanmaraş Province,38.0,37.0,80.6,65,0,20.8,TR,1596406420
Poum,-20.23,164.02,69.08,62,4,6.71,NC,1596406420
Horqueta,-23.34,-57.06,77.74,40,0,5.08,PY,1596406420
Nova Ushytsya,48.84,27.27,55.99,77,20,1.3,UA,1596406420
Maniago,46.17,12.71,73.99,79,87,5.84,IT,1596406421
Tancanhuitz,21.6,-98.97,89.01,54,13,3.94,MX,1596406421
Maputo,-25.97,32.59,59.0,93,0,2.24,MZ,1596406421
Soma,39.19,27.61,77.0,56,0,8.05,TR,1596406422
Naliya,23.27,68.83,86.02,75,91,10.56,IN,1596406422
Pecos,31.42,-103.49,100.4,15,40,4.7,US,1596406422
Cabo Rojo,18.09,-67.15,84.99,77,80,3.0,PR,1596406267
Aswān,24.09,32.91,96.89,15,42,10.13,EG,1596406220
Richards Bay,-28.78,32.04,64.67,73,0,15.68,ZA,1596406423
Flinders,-34.58,150.86,53.01,87,76,1.01,AU,1596406423
Guerrero Negro,27.98,-114.06,84.92,47,46,17.22,MX,1596406423
Bujumbura,-3.38,29.36,72.75,45,10,3.06,BI,1596406424
Lata,40.16,-8.33,64.99,89,71,8.99,PT,1596406424
Altoona,40.52,-78.39,84.99,55,35,1.99,US,1596406364
Sikonge,-5.63,32.77,68.0,49,1,23.04,TZ,1596406424
Honningsvåg,70.98,25.97,50.0,87,75,9.17,NO,1596406424
Balancán,17.8,-91.53,93.2,59,40,3.76,MX,1596406425
Bagdarin,54.43,113.6,56.05,90,93,2.51,RU,1596406325
Maricá,-22.92,-42.82,69.8,73,20,12.75,BR,1596406425
Gayéri,12.65,0.49,81.05,68,93,11.16,BF,1596406425
Grand-Santi,4.25,-54.38,75.34,94,78,1.54,GF,1596406426
Kumul,42.8,93.45,77.99,17,85,1.81,CN,1596406426
Nome,64.5,-165.41,64.0,72,1,12.75,US,1596406426
Northam,51.03,-4.22,60.01,84,95,7.0,GB,1596406426
Trairi,-3.28,-39.27,78.55,79,3,10.29,BR,1596406427
Ormara,25.21,64.64,84.16,84,12,9.22,PK,1596406427
Viedma,-40.81,-63.0,46.99,65,14,5.59,AR,1596406413
Kitimat,54.05,-128.65,61.0,94,100,1.99,CA,1596406387
Anyang,36.1,114.33,86.0,72,98,5.17,CN,1596406428
Presidente Médici,-11.18,-61.9,84.33,26,0,3.51,BR,1596406428
Vilcún,-38.65,-72.23,60.01,82,53,5.82,CL,1596406428
Noumea,-22.28,166.46,70.0,82,90,3.36,NC,1596406255
Jacareacanga,-6.22,-57.75,81.25,38,5,0.69,BR,1596406429
Pinheiro,-2.52,-45.08,76.01,87,59,3.94,BR,1596406429
Muli,2.92,73.57,82.15,79,93,12.15,MV,1596406429
Tommot,58.96,126.29,56.48,75,100,4.72,RU,1596406429
Sibut,5.72,19.07,70.57,95,100,4.41,CF,1596406430
Broken Hill,-31.95,141.43,44.6,48,100,8.05,AU,1596406430
Montague,42.54,-72.54,79.0,90,100,1.01,US,1596406430
Rechka Vydrino,51.48,104.85,55.85,87,100,6.85,RU,1596406430
Kungur,57.44,56.96,55.26,93,99,6.69,RU,1596406431
Pacajus,-4.17,-38.46,80.6,74,30,10.29,BR,1596406431
Yhú,-25.05,-55.92,68.77,58,0,5.79,PY,1596406431
Ken Caryl,39.58,-105.12,81.0,38,75,1.01,US,1596406151
Lesnoy,57.62,63.08,62.82,95,84,2.82,RU,1596406432
Khāsh,28.22,61.22,75.04,29,4,2.73,IR,1596406432
The Valley,18.22,-63.06,87.8,74,20,10.29,AI,1596406175
Koutsouras,35.03,25.95,82.99,40,0,13.0,GR,1596406432
Verkhniy Tagil,57.37,59.96,59.61,92,100,4.74,RU,1596406432
Bongaree,-27.08,153.16,55.99,95,90,1.01,AU,1596406433
Pangoa,-12.12,-73.0,78.93,56,14,2.39,PE,1596406433
Warrnambool,-38.38,142.48,46.04,83,19,13.94,AU,1596406433
Oriximiná,-1.77,-55.87,84.81,47,69,4.09,BR,1596406433
Lompoc,34.64,-120.46,69.8,68,0,14.99,US,1596406434
Lüderitz,-26.65,15.16,69.8,28,0,8.05,NA,1596406434
Charyshskoye,51.4,83.56,54.95,82,14,6.08,RU,1596406434
Christchurch,-43.53,172.63,52.0,93,100,5.82,NZ,1596406207
Mirwah,13.92,43.92,74.35,59,100,2.15,YE,1596406435
La Ronge,55.1,-105.28,80.6,39,20,12.75,CA,1596406435
Iowa City,41.66,-91.53,80.6,51,20,10.29,US,1596406435
Saldanha,-33.01,17.94,48.2,81,0,1.12,ZA,1596406435
Stulovo,58.72,50.14,48.52,98,75,5.35,RU,1596406436
Nelidovo,56.22,32.78,50.11,91,0,3.18,RU,1596406436
Malé,4.17,73.51,82.09,80,100,14.45,MV,1596406321
Orbetello,42.44,11.22,77.0,78,0,4.7,IT,1596406436
Kiryat Gat,31.61,34.76,79.0,61,0,1.99,IL,1596406143
Spruce Grove,53.53,-113.92,84.99,51,1,11.41,CA,1596406437
Batagay-Alyta,67.8,130.41,54.99,60,98,2.59,RU,1596406437
Shira,54.49,89.95,55.99,94,99,3.02,RU,1596406437
Sistranda,63.73,8.83,57.2,93,75,10.29,NO,1596406438
Māndal,25.45,74.57,80.33,77,81,7.67,IN,1596406438
Aasiaat,68.71,-52.87,41.58,84,2,4.68,GL,1596406438
Omboué,-1.57,9.26,73.27,73,70,6.49,GA,1596406438
Puntarenas,9.98,-84.84,77.0,78,40,5.82,CR,1596406439
Islamkot,24.7,70.18,87.84,65,4,13.09,PK,1596406439
Husavik,66.04,-17.34,50.0,93,90,5.82,IS,1596406439
Goundam,16.41,-3.67,94.93,36,19,9.55,ML,1596406439
São José da Coroa Grande,-8.9,-35.15,74.41,78,56,11.68,BR,1596406440
Nioki,-2.72,17.68,82.6,43,17,3.06,CD,1596406440
Vila Franca do Campo,37.72,-25.43,71.6,73,20,6.93,PT,1596406440
Dekar,-21.53,21.93,53.1,41,0,5.79,BW,1596406441
Invermere,50.52,-116.04,88.0,33,13,4.0,CA,1596406441
Hailey,43.52,-114.32,91.4,18,5,11.41,US,1596406441
Hamilton,39.18,-84.53,81.0,57,40,8.05,US,1596406158
Uvira,-3.41,29.15,73.04,48,11,1.77,CD,1596406441
Hanyang,32.14,105.51,70.61,96,1,1.19,CN,1596406442
High Level,58.52,-117.14,84.2,58,20,5.82,CA,1596406442
Malbork,54.04,19.03,68.0,100,94,7.7,PL,1596406183
Tarko-Sale,64.92,77.78,60.3,68,53,9.95,RU,1596406443
Ruska Poliana,49.42,31.92,57.36,87,0,3.69,UA,1596406443
Latung,5.5,120.88,82.0,74,41,2.01,PH,1596406444
Xingyi,24.19,102.82,62.31,98,96,4.12,CN,1596406444
Marawi,8.0,124.29,77.0,86,96,5.99,PH,1596406444
Richmond,37.55,-77.46,87.8,58,75,4.7,US,1596406420
Tricase,39.93,18.36,77.0,88,5,3.36,IT,1596406445
Souillac,-20.52,57.52,69.8,68,75,14.99,MU,1596406445
College,64.86,-147.8,71.6,56,40,6.93,US,1596406445
Palauig,15.44,119.9,81.25,76,100,7.56,PH,1596406446
Rawson,-43.3,-65.1,52.68,43,0,9.28,AR,1596406378
Imeni Morozova,59.98,31.04,57.99,99,100,5.95,RU,1596406446
Pavlikeni,43.24,25.32,72.0,82,0,3.36,BG,1596406446
São João da Barra,-21.64,-41.05,69.8,68,3,5.82,BR,1596406447
Itapuranga,-15.56,-49.95,72.7,38,0,5.91,BR,1596406447
Road Town,18.42,-64.62,84.2,74,40,6.93,VG,1596406448
Calabozo,8.92,-67.43,79.93,91,73,2.24,VE,1596406448
Camacha,33.08,-16.33,69.8,73,40,11.41,PT,1596406448
Havøysund,71.0,24.66,48.2,87,47,10.29,NO,1596406448
Tuckahoe,37.59,-77.56,87.8,78,1,3.36,US,1596406448
Khasan,42.43,130.64,68.68,98,100,7.56,RU,1596406449
Pangody,65.85,74.49,60.15,71,24,10.4,RU,1596406403
Canapi,-9.12,-37.6,68.41,82,21,9.55,BR,1596406449
Vicuña,-30.03,-70.71,59.0,72,16,10.29,CL,1596406450
Shōbara,34.85,133.02,78.8,83,89,4.7,JP,1596406450
Pangnirtung,66.15,-65.71,55.65,54,36,4.27,CA,1596406450
Manjacaze,-24.71,33.88,56.32,91,0,3.65,MZ,1596406450
Atikokan,48.76,-91.62,69.06,39,88,7.2,CA,1596406451
Urengoy,65.97,78.37,57.2,76,71,7.29,RU,1596406451
Rio Grande,-32.03,-52.1,62.96,88,98,6.24,BR,1596406451
Chengde,40.97,117.94,68.11,84,0,1.74,CN,1596406394
Treznea,47.1,23.12,60.8,87,79,2.24,RO,1596406452
Tezu,27.92,96.17,79.2,73,15,2.28,IN,1596406452
Mana,5.66,-53.78,79.2,84,90,7.74,GF,1596406452
Kuliyapitiya,7.47,80.04,77.0,100,20,2.24,LK,1596406453
Kapoeta,4.77,33.59,75.74,66,26,3.42,SS,1596406453
Tingo María,-9.29,-76.01,80.64,59,32,2.19,PE,1596406453
Tombouctou,20.0,-3.0,102.27,21,0,9.28,ML,1596406453
Fort Nelson,58.81,-122.7,78.8,36,40,5.82,CA,1596406453
Caohai,26.87,104.28,60.13,95,92,1.86,CN,1596406454
Havelock,34.88,-76.9,87.01,79,0,11.01,US,1596406454
Kuusamo,65.97,29.18,51.8,87,90,4.7,FI,1596406454
Arlit,18.74,7.39,89.49,44,76,9.37,NE,1596406454
Port-Gentil,-0.72,8.78,77.0,78,75,10.94,GA,1596406455
Carutapera,-1.2,-46.02,76.44,91,37,6.87,BR,1596406455
Orizona,-17.03,-48.3,66.99,49,0,5.64,BR,1596406455
Darhan,49.49,105.92,57.49,89,100,3.67,MN,1596406455
Waingapu,-9.66,120.26,69.39,83,6,7.49,ID,1596406456
Meridian,43.61,-116.39,99.0,18,1,6.93,US,1596406192
Chul'man,56.85,124.91,56.3,92,100,1.97,RU,1596406456
Magaria,13.0,8.91,78.58,77,34,9.66,NE,1596406456
Izhevskoye,54.56,40.87,52.41,92,68,4.34,RU,1596406457
Queanbeyan,-35.35,149.23,37.0,100,90,1.32,AU,1596406457
Liverpool,53.41,-2.98,60.8,77,20,13.87,GB,1596406178
Biała Podlaska,52.03,23.12,60.66,75,77,6.82,PL,1596406457
Nadadores,27.05,-101.6,99.0,34,75,16.98,MX,1596406457
Dabat,12.98,37.77,52.72,94,81,4.5,ET,1596406458
Khovd,48.01,91.64,53.67,70,97,2.82,MN,1596406458
Sibolga,1.74,98.78,76.24,82,98,2.98,ID,1596406458
Khandyga,62.67,135.6,63.82,48,30,2.33,RU,1596406325
Imbituba,-28.24,-48.67,69.8,64,62,8.05,BR,1596406459
Marzuq,14.4,46.47,81.9,54,13,6.08,YE,1596406459
Normal,40.51,-88.99,82.0,61,20,13.87,US,1596406459
Labuhan,-6.88,112.21,72.59,87,43,6.87,ID,1596406460
Nhulunbuy,-12.23,136.77,71.6,88,75,8.05,AU,1596406460
Macusani,-14.08,-70.43,48.7,46,5,5.53,PE,1596406460
Comodoro Rivadavia,-45.87,-67.5,53.6,46,57,9.17,AR,1596406392
Winslow,35.02,-110.7,100.4,10,1,12.75,US,1596406461
Biltine,14.53,20.92,74.03,85,100,17.85,TD,1596406461
Tabuk,17.42,121.44,74.97,84,99,1.7,PH,1596406461
Dingle,11.0,122.67,76.55,84,100,2.8,PH,1596406462
Inhambane,-23.86,35.38,67.23,71,100,7.92,MZ,1596406462
Kasempa,-13.46,25.83,54.21,46,9,7.23,ZM,1596406462
Poddor'ye,57.47,31.12,52.79,86,49,5.21,RU,1596406463
Garissa,-0.45,39.64,73.27,72,13,17.69,KE,1596406463
Magán,39.97,-3.93,86.0,29,71,14.0,ES,1596406463
Rizómata,40.35,22.2,75.99,72,0,1.16,GR,1596406464
Luanda,-8.84,13.23,71.6,83,27,4.7,AO,1596406242
Jiazi,22.88,116.07,79.3,89,100,4.23,CN,1596406464
Camopi,3.17,-52.32,75.11,96,90,2.48,GF,1596406464
Ţaga,46.95,24.05,59.0,87,48,2.24,RO,1596406464
Japura,-0.32,102.35,73.96,92,43,2.55,ID,1596406465
Hirado,33.36,129.55,81.0,88,75,8.05,JP,1596406465
Kahului,20.89,-156.47,87.8,52,40,23.04,US,1596406419
Hualmay,-11.1,-77.61,64.08,73,18,10.2,PE,1596406465
Punta de Piedra,7.62,-71.49,80.83,88,59,2.55,VE,1596406466
Iwaki,37.05,140.88,77.0,88,20,3.36,JP,1596406466
Sonoita,31.85,-112.83,104.0,28,0,12.86,MX,1596406466
